2021-10-11 22:44:05.902532	https://www.encodeproject.org/report/?type=Experiment&status=released&assay_title=CRISPR+RNA-seq&assay_title=CRISPRi+RNA-seq&replicates.library.biosample.donor.organism.scientific_name=Homo+sapiens&files.file_type=bam&field=accession&field=assay_title&field=target.label&field=target.genes.symbol&field=biosample_summary&field=biosample_ontology.term_name&field=dbxrefs&field=description&field=lab.title&field=award.project&field=replicates.library.biosample.accession&field=replicates.biological_replicate_number&field=replicates.technical_replicate_number&field=replicates.library.biosample.organism.scientific_name&field=possible_controls&field=perturbed&limit=all
Accession	Assay title	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Description	Lab	Project	Biosample accession	Biological replicate	Technical replicate	Organism	Controls	Perturbed
ENCSR865UKM	CRISPR RNA-seq	RPS3	RPS3	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens RPS3	K562	GEO:GSE177986	RNA-seq on K562 cells treated with a CRISPR gRNA against RPS3. (RPS3-BGKcLV04-C)	Brenton Graveley, UConn	ENCODE	ENCBS515MKD,ENCBS640DOL	2,1	1	Homo sapiens	/experiments/ENCSR005JBU/	True
ENCSR565ZPZ	CRISPR RNA-seq	RPS25	RPS25	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens RPS25	HepG2	GEO:GSE177367	RNA-seq on HepG2 cells treated with a CRISPR gRNA against RPS25. (RPS25-BGHcLV20)	Brenton Graveley, UConn	ENCODE	ENCBS814FUV,ENCBS679EBD	1,2	1	Homo sapiens	/experiments/ENCSR306EWE/	True
ENCSR925OFV	CRISPR RNA-seq	RPL23A	RPL23A	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens RPL23A	HepG2	RBPImage:RPL23A,GEO:GSE177860	RNA-seq on HepG2 cells treated with a CRISPR gRNA against RPL23A. (RPL23A-BGHcLV09)	Brenton Graveley, UConn	ENCODE	ENCBS145YHJ,ENCBS219EXC	1,2	1	Homo sapiens	/experiments/ENCSR300EBW/	True
ENCSR681ELF	CRISPR RNA-seq	PRPF3	PRPF3	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens PRPF3	K562	GEO:GSE177758	RNA-seq on K562 cells treated with a CRISPR gRNA against PRPF3. (PRPF3-BGKcLV23)	Brenton Graveley, UConn	ENCODE	ENCBS212CME,ENCBS248THI	2,1	1	Homo sapiens	/experiments/ENCSR877JEM/	True
ENCSR300EBW	CRISPR RNA-seq			Homo sapiens HepG2 genetically modified (deletion) using CRISPR	HepG2	GEO:GSE177065	Control CRISPR gRNA against no target in HepG2 cells followed by RNA-seq. (NT-BGHcLV09)	Brenton Graveley, UConn	ENCODE	ENCBS205XWZ,ENCBS271VOS	1,2	1	Homo sapiens		False
ENCSR561IMV	CRISPR RNA-seq	ERO1A	ERO1A	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens ERO1A	HepG2	GEO:GSE177349	RNA-seq on HepG2 cells treated with a CRISPR gRNA against ERO1L. (ERO1L-BGHcLV16)	Brenton Graveley, UConn	ENCODE	ENCBS526OCD,ENCBS626UNQ	2,1	1	Homo sapiens	/experiments/ENCSR964HKT/	True
ENCSR606PVX	CRISPR RNA-seq	RBM5	RBM5	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens RBM5	HepG2	GEO:GSE177528,RBPImage:RBM5	RNA-seq on HepG2 cells treated with a CRISPR gRNA against RBM5. (RBM5_BGHcLV05)	Brenton Graveley, UConn	ENCODE	ENCBS826PQG,ENCBS630WES	1,2	1	Homo sapiens	/experiments/ENCSR481WJH/	True
ENCSR544LEZ	CRISPR RNA-seq	ZC3H11A	ZC3H11A	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens ZC3H11A	HepG2	RBPImage:ZC3H11A,GEO:GSE177294	RNA-seq on HepG2 cells treated with a CRISPR gRNA against ZC3H11A. (ZC3H11A-BGHcLV10)	Brenton Graveley, UConn	ENCODE	ENCBS343EZL,ENCBS941VTX	2,1	1	Homo sapiens	/experiments/ENCSR775ZWO/	True
ENCSR978MMZ	CRISPR RNA-seq			Homo sapiens K562 genetically modified (deletion) using CRISPR	K562	GEO:GSE178013	Control CRISPR gRNA against no target in K562 cells followed by RNA-seq. (NT-BGKcLV19)	Brenton Graveley, UConn	ENCODE	ENCBS878GWR,ENCBS866YOW	1,2	1	Homo sapiens		False
ENCSR400XYB	CRISPR RNA-seq	CD3EAP	CD3EAP	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens CD3EAP	HepG2	GEO:GSE177070	RNA-seq on HepG2 cells treated with a CRISPR gRNA against CD3EAP. (CD3EAP-BGHcLV16)	Brenton Graveley, UConn	ENCODE	ENCBS888MPT,ENCBS539IKE	2,1	1	Homo sapiens	/experiments/ENCSR964HKT/	True
ENCSR455VFL	CRISPR RNA-seq	GNL3	GNL3	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens GNL3	K562	GEO:GSE177305	RNA-seq on K562 cells treated with a CRISPR gRNA against GNL3. (GNL3-BGKcLV08)	Brenton Graveley, UConn	ENCODE	ENCBS252OKO,ENCBS012JTK	2,1	1	Homo sapiens	/experiments/ENCSR015KGT/	True
ENCSR603TOC	CRISPR RNA-seq	CENPI	CENPI	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens CENPI	HepG2	GEO:GSE177505	RNA-seq on HepG2 cells treated with a CRISPR gRNA against CENPI. (CENPI-BGHcLV09)	Brenton Graveley, UConn	ENCODE	ENCBS056BIT,ENCBS926GVT	1,2	1	Homo sapiens	/experiments/ENCSR300EBW/	True
ENCSR429OUR	CRISPR RNA-seq	DDX20	DDX20	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens DDX20	HepG2	RBPImage:DDX20,GEO:GSE177213	RNA-seq on HepG2 cells treated with a CRISPR gRNA against DDX20. (DDX20-BGHcLV10)	Brenton Graveley, UConn	ENCODE	ENCBS292SMV,ENCBS223MPM	1,2	1	Homo sapiens	/experiments/ENCSR775ZWO/	True
ENCSR455KXW	CRISPR RNA-seq	EXOSC10	EXOSC10	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens EXOSC10	HepG2	GEO:GSE177303	RNA-seq on HepG2 cells treated with a CRISPR gRNA against EXOSC10. (EXOSC10-BGHcLV22)	Brenton Graveley, UConn	ENCODE	ENCBS673PHM,ENCBS802NJT	1,2	1	Homo sapiens	/experiments/ENCSR704VPL/	True
ENCSR786OLN	CRISPR RNA-seq	EIF2B3	EIF2B3	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens EIF2B3	K562	GEO:GSE177713	RNA-seq on K562 cells treated with a CRISPR gRNA against EIF2B3. (EIF2B3-BGKcLV15)	Brenton Graveley, UConn	ENCODE	ENCBS422SUU,ENCBS726XNC	1,2	1	Homo sapiens	/experiments/ENCSR404OHQ/	True
ENCSR832XLB	CRISPR RNA-seq	FYTTD1	FYTTD1	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens FYTTD1	K562	GEO:GSE177891	RNA-seq on K562 cells treated with a CRISPR gRNA against FYTTD1. (FYTTD1-BGKcLV21)	Brenton Graveley, UConn	ENCODE	ENCBS496EAG,ENCBS108QSS	2,1	1	Homo sapiens	/experiments/ENCSR854OFV/	True
ENCSR939BTN	CRISPR RNA-seq	SRSF4	SRSF4	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens SRSF4	K562	GEO:GSE177897	RNA-seq on K562 cells treated with a CRISPR gRNA against SRSF4. (SRSF4-BGKcLV04-C)	Brenton Graveley, UConn	ENCODE	ENCBS217XMV,ENCBS578FNZ	1,2	1	Homo sapiens	/experiments/ENCSR005JBU/	True
ENCSR005RUR	CRISPR RNA-seq	SNRPC	SNRPC	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens SNRPC	HepG2	GEO:GSE176618	RNA-seq on HepG2 cells treated with a CRISPR gRNA against SNRPC. (SNRPC-BGHcLV22)	Brenton Graveley, UConn	ENCODE	ENCBS909DXM,ENCBS360XRD	1,2	1	Homo sapiens	/experiments/ENCSR704VPL/	True
ENCSR733MVT	CRISPR RNA-seq	EIF3H	EIF3H	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens EIF3H	HepG2	GEO:GSE177583	RNA-seq on HepG2 cells treated with a CRISPR gRNA against EIF3H. (EIF3H-BGHcLV05-D)	Brenton Graveley, UConn	ENCODE	ENCBS443YFV,ENCBS731URN	1,2	1	Homo sapiens	/experiments/ENCSR805TIZ/	True
ENCSR550VEL	CRISPR RNA-seq	NSUN4	NSUN4	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens NSUN4	K562	GEO:GSE177321	RNA-seq on K562 cells treated with a CRISPR gRNA against NSUN4. (NSUN4-BGKcLV15)	Brenton Graveley, UConn	ENCODE	ENCBS864BAC,ENCBS871JRU	2,1	1	Homo sapiens	/experiments/ENCSR404OHQ/	True
ENCSR194SPW	CRISPR RNA-seq			Homo sapiens HepG2 genetically modified (deletion) using CRISPR	HepG2	GEO:GSE176929	Control CRISPR gRNA against no target in HepG2 cells followed by RNA-seq. (NT-BGHcLV07-B)	Brenton Graveley, UConn	ENCODE	ENCBS914MWE,ENCBS058XCC	2,1	1	Homo sapiens		False
ENCSR400SCX	CRISPR RNA-seq	GLRX3	GLRX3	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens GLRX3	HepG2	GEO:GSE177067,RBPImage:GLRX3	RNA-seq on HepG2 cells treated with a CRISPR gRNA against GLRX3. (GLRX3-BGHcLV12)	Brenton Graveley, UConn	ENCODE	ENCBS041KFE,ENCBS869LGZ	1,2	1	Homo sapiens	/experiments/ENCSR827PII/	True
ENCSR299PRA	CRISPR RNA-seq	EXOSC10	EXOSC10	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens EXOSC10	K562	GEO:GSE177022	RNA-seq on K562 cells treated with a CRISPR gRNA against EXOSC10. (EXOSC10-BGKcLV21)	Brenton Graveley, UConn	ENCODE	ENCBS311NMT,ENCBS470VBM	1,2	1	Homo sapiens	/experiments/ENCSR854OFV/	True
ENCSR877JEM	CRISPR RNA-seq			Homo sapiens K562	K562	GEO:GSE178008	Control CRISPR gRNA against no target in K562 cells followed by RNA-seq. (NT-BGKcLV23)	Brenton Graveley, UConn	ENCODE	ENCBS794DDL,ENCBS571XPD	1,2	1	Homo sapiens		False
ENCSR975NHV	CRISPR RNA-seq	EIF6	EIF6	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens EIF6	K562	GEO:GSE177990	RNA-seq on K562 cells treated with a CRISPR gRNA against EIF6. (EIF6-BGKcLV23)	Brenton Graveley, UConn	ENCODE	ENCBS990ZZB,ENCBS547HAA	2,1	1	Homo sapiens	/experiments/ENCSR877JEM/	True
ENCSR667WZB	CRISPR RNA-seq	EIF2AK1	EIF2AK1	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens EIF2AK1	K562	GEO:GSE177728	RNA-seq on K562 cells treated with a CRISPR gRNA against EIF2AK1. (EIF2AK1-BGKcLV15)	Brenton Graveley, UConn	ENCODE	ENCBS902FGA,ENCBS403NOH	1,2	1	Homo sapiens	/experiments/ENCSR404OHQ/	True
ENCSR499IQB	CRISPR RNA-seq	NIP7	NIP7	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens PES1	K562	GEO:GSE177435	RNA-seq on K562 cells treated with a CRISPR gRNA against NIP7. (NIP7-BGKcLV11)	Brenton Graveley, UConn	ENCODE	ENCBS176ZST,ENCBS844FIG	2,1	1	Homo sapiens	/experiments/ENCSR292PXV/	True
ENCSR666FOS	CRISPR RNA-seq	CXXC1	CXXC1	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens CXXC1	HepG2	GEO:GSE177720	RNA-seq on HepG2 cells treated with a CRISPR gRNA against CXXC1. (CXXC1-BGHcLV18)	Brenton Graveley, UConn	ENCODE	ENCBS285GCD,ENCBS083QAV	1,2	1	Homo sapiens	/experiments/ENCSR670KAS/	True
ENCSR353OQP	CRISPR RNA-seq	ERO1A	ERO1A	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens ERO1A	K562	GEO:GSE177245	RNA-seq on K562 cells treated with a CRISPR gRNA against ERO1L. (ERO1L-BGKcLV15)	Brenton Graveley, UConn	ENCODE	ENCBS499VIT,ENCBS590BHJ	1,2	1	Homo sapiens	/experiments/ENCSR404OHQ/	True
ENCSR356PRP	CRISPR RNA-seq	ELAVL1	ELAVL1	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens ELAVL1	K562	GEO:GSE177265	RNA-seq on K562 cells treated with a CRISPR gRNA against ELAVL1. (ELAVL1-BGKcLV13)	Brenton Graveley, UConn	ENCODE	ENCBS929OHW,ENCBS137LOR	1,2	1	Homo sapiens	/experiments/ENCSR712CQC/	True
ENCSR324GSI	CRISPR RNA-seq	NCBP1	NCBP1	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens NCBP1	HepG2	GEO:GSE177140	RNA-seq on HepG2 cells treated with a CRISPR gRNA against NCBP1. (NCBP1-BGHcLV10)	Brenton Graveley, UConn	ENCODE	ENCBS460XAH,ENCBS798CLM	1,2	1	Homo sapiens	/experiments/ENCSR775ZWO/	True
ENCSR521WCW	CRISPR RNA-seq	DDX42	DDX42	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens DDX42	K562	GEO:GSE177170	RNA-seq on K562 cells treated with a CRISPR gRNA against DDX42. (DDX42-BGKcLV08)	Brenton Graveley, UConn	ENCODE	ENCBS960ZMX,ENCBS826MJI	1,2	1	Homo sapiens	/experiments/ENCSR015KGT/	True
ENCSR642GBC	CRISPR RNA-seq	RPS3	RPS3	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens RPS3	K562	GEO:GSE177661	RNA-seq on K562 cells treated with a CRISPR gRNA against RPS3. (RPS3-BGKcLV04-B)	Brenton Graveley, UConn	ENCODE	ENCBS640DOL,ENCBS515MKD	1,2	1	Homo sapiens	/experiments/ENCSR772DUM/	True
ENCSR242VKR	CRISPR RNA-seq	CENPI	CENPI	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens CENPI	K562	GEO:GSE176831	RNA-seq on K562 cells treated with a CRISPR gRNA against CENPI. (CENPI-BGKcLV08)	Brenton Graveley, UConn	ENCODE	ENCBS833MOI,ENCBS105PBU	1,2	1	Homo sapiens	/experiments/ENCSR015KGT/	True
ENCSR354RSR	CRISPR RNA-seq	HNRNPH1	HNRNPH1	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens HNRNPH1	K562	GEO:GSE177261	RNA-seq on K562 cells treated with a CRISPR gRNA against HNRNPH1. (HNRNPH1-BGKcLV06)	Brenton Graveley, UConn	ENCODE	ENCBS333GIJ,ENCBS971STX	1,2	1	Homo sapiens	/experiments/ENCSR341TTW/	True
ENCSR667FZF	CRISPR RNA-seq	KPNB1	KPNB1	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens KPNB1	K562	GEO:GSE177723	RNA-seq on K562 cells treated with a CRISPR gRNA against KPNB1. (KPNB1-BGKcLV13)	Brenton Graveley, UConn	ENCODE	ENCBS488XRL,ENCBS352MSE	1,2	1	Homo sapiens	/experiments/ENCSR712CQC/	True
ENCSR702LIH	CRISPR RNA-seq	RPL11	RPL11	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens RPL11	HepG2	GEO:GSE177495	RNA-seq on HepG2 cells treated with a CRISPR gRNA against RPL11. (RPL11-BGHcLV16)	Brenton Graveley, UConn	ENCODE	ENCBS988KQS,ENCBS252VWD	2,1	1	Homo sapiens	/experiments/ENCSR964HKT/	True
ENCSR600OWF	CRISPR RNA-seq	DNMT1	DNMT1	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens DNMT1	K562	GEO:GSE177486	RNA-seq on K562 cells treated with a CRISPR gRNA against DNMT1. (DNMT1-BGKcLV13)	Brenton Graveley, UConn	ENCODE	ENCBS476ZSX,ENCBS404MEW	2,1	1	Homo sapiens	/experiments/ENCSR712CQC/	True
ENCSR663BBL	CRISPR RNA-seq	CNOT2	CNOT2	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens CNOT2	K562	GEO:GSE177705	RNA-seq on K562 cells treated with a CRISPR gRNA against CNOT2. (CNOT2-BGKcLV23)	Brenton Graveley, UConn	ENCODE	ENCBS721LOQ,ENCBS739YPH	1,2	1	Homo sapiens	/experiments/ENCSR877JEM/	True
ENCSR932GTJ	CRISPR RNA-seq	PAN2	PAN2	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens PAN2	HepG2	GEO:GSE177873	RNA-seq on HepG2 cells treated with a CRISPR gRNA against PAN2. (PAN2-BGHcLV22)	Brenton Graveley, UConn	ENCODE	ENCBS647PKG,ENCBS600LVU	1,2	1	Homo sapiens	/experiments/ENCSR704VPL/	True
ENCSR437GYG	CRISPR RNA-seq	AGGF1	AGGF1	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens AGGF1	HepG2	RBPImage:AGGF1,GEO:GSE177233	RNA-seq on HepG2 cells treated with a CRISPR gRNA against AGGF1. (AGGF1-BGHcLV05-B)	Brenton Graveley, UConn	ENCODE	ENCBS048KGW,ENCBS010LBN	1,2	1	Homo sapiens	/experiments/ENCSR853AOV/	True
ENCSR580TGX	CRISPR RNA-seq	POLR2G	POLR2G	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens POLR2G	K562	GEO:GSE177428	RNA-seq on K562 cells treated with a CRISPR gRNA against POLR2G. (POLR2G-BGKcLV06)	Brenton Graveley, UConn	ENCODE	ENCBS518EXZ,ENCBS767NRE	1,2	1	Homo sapiens	/experiments/ENCSR341TTW/	True
ENCSR471INA	CRISPR RNA-seq	SRSF4	SRSF4	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens SRSF4	HepG2	RBPImage:SRSF4,GEO:GSE177359	RNA-seq on HepG2 cells treated with a CRISPR gRNA against SRSF4. (SRSF4-BGHcLV05-B)	Brenton Graveley, UConn	ENCODE	ENCBS775SLR,ENCBS284JIL	2,1	1	Homo sapiens	/experiments/ENCSR853AOV/	True
ENCSR733ROU	CRISPRi RNA-seq	MAF1	MAF1	Homo sapiens K562 genetically modified (interference) using CRISPR targeting H. sapiens MAF1	K562	GEO:GSE127149	RNA-seq on K562 cells treated by CRISPR interference targeting MAF1.	Michael Snyder, Stanford	ENCODE	ENCBS666OHK,ENCBS279WWG	1,2	1	Homo sapiens	/experiments/ENCSR095PIC/	True
ENCSR680OJB	CRISPR RNA-seq	SYNCRIP	SYNCRIP	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens SYNCRIP	K562	GEO:GSE177757	RNA-seq on K562 cells treated with a CRISPR gRNA against SYNCRIP. (SYNCRIP-BGKcLV06)	Brenton Graveley, UConn	ENCODE	ENCBS137STC,ENCBS713NAX	2,1	1	Homo sapiens	/experiments/ENCSR341TTW/	True
ENCSR070AYA	CRISPR RNA-seq	WBP11	WBP11	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens WBP11	K562	GEO:GSE176887	RNA-seq on K562 cells treated with a CRISPR gRNA against WBP11. (WBP11-BGKcLV23)	Brenton Graveley, UConn	ENCODE	ENCBS242DYL,ENCBS935HUM	1,2	1	Homo sapiens	/experiments/ENCSR877JEM/	True
ENCSR544ZCR	CRISPR RNA-seq	SF3B1	SF3B1	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens SF3B1	K562	GEO:GSE177296	RNA-seq on K562 cells treated with a CRISPR gRNA against SF3B1. (SF3B1-BGKcLV11)	Brenton Graveley, UConn	ENCODE	ENCBS919IYA,ENCBS623CLM	1,2	1	Homo sapiens	/experiments/ENCSR292PXV/	True
ENCSR312UYN	CRISPR RNA-seq	EIF2B3	EIF2B3	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens EIF2B3	HepG2	GEO:GSE177119	RNA-seq on HepG2 cells treated with a CRISPR gRNA against EIF2B3. (EIF2B3-BGHcLV16)	Brenton Graveley, UConn	ENCODE	ENCBS043TYN,ENCBS691PWT	2,1	1	Homo sapiens	/experiments/ENCSR964HKT/	True
ENCSR715QWM	CRISPR RNA-seq	SDAD1	SDAD1	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens SDAD1	HepG2	GEO:GSE177524	RNA-seq on HepG2 cells treated with a CRISPR gRNA against SDAD1. (SDAD1-BGHcLV07)	Brenton Graveley, UConn	ENCODE	ENCBS045JKA,ENCBS268BDM	2,1	1	Homo sapiens	/experiments/ENCSR521WAI/	True
ENCSR166MWM	CRISPR RNA-seq	RBM14	RBM14,RBM14-RBM4	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens RBM14	HepG2	GEO:GSE176863	RNA-seq on HepG2 cells treated with a CRISPR gRNA against RBM14. (RBM14-BGHcLV07)	Brenton Graveley, UConn	ENCODE	ENCBS781PCX,ENCBS278AVW	2,1	1	Homo sapiens	/experiments/ENCSR521WAI/	True
ENCSR266XKN	CRISPR RNA-seq	MECP2	MECP2	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens MECP2	HepG2	GEO:GSE176935	RNA-seq on HepG2 cells treated with a CRISPR gRNA against MECP2. (MECP2-BGHcLV16)	Brenton Graveley, UConn	ENCODE	ENCBS355HDT,ENCBS007KVT	1,2	1	Homo sapiens	/experiments/ENCSR964HKT/	True
ENCSR521WAI	CRISPR RNA-seq			Homo sapiens HepG2 genetically modified (deletion) using CRISPR	HepG2	GEO:GSE177167	Control CRISPR gRNA against no target in HepG2 cells followed by RNA-seq. (NT-BGHcLV07)	Brenton Graveley, UConn	ENCODE	ENCBS058XCC,ENCBS914MWE	1,2	1	Homo sapiens		False
ENCSR162HOU	CRISPR RNA-seq	BRIX1	BRIX1	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens BRIX1	K562	GEO:GSE176846	RNA-seq on K562 cells treated with a CRISPR gRNA against BRIX1. (BRIX1-BGKcLV23)	Brenton Graveley, UConn	ENCODE	ENCBS883HOT,ENCBS846ABT	1,2	1	Homo sapiens	/experiments/ENCSR877JEM/	True
ENCSR991XFO	CRISPR RNA-seq	DROSHA	DROSHA	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens DROSHA	HepG2	RBPImage:DROSHA,GEO:GSE178055	RNA-seq on HepG2 cells treated with a CRISPR gRNA against DROSHA. (DROSHA_BGHcLV05)	Brenton Graveley, UConn	ENCODE	ENCBS076OJD,ENCBS047KDJ	2,1	1	Homo sapiens	/experiments/ENCSR481WJH/	True
ENCSR050ONB	CRISPR RNA-seq	RNF187	RNF187	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens RNF187	K562	GEO:GSE176793	RNA-seq on K562 cells treated with a CRISPR gRNA against RNF187. (RNF187-BGKcLV19)	Brenton Graveley, UConn	ENCODE	ENCBS828OWP,ENCBS823JJH	2,1	1	Homo sapiens	/experiments/ENCSR978MMZ/	True
ENCSR854OFV	CRISPR RNA-seq			Homo sapiens K562 genetically modified (deletion) using CRISPR	K562	GEO:GSE177961	Control CRISPR gRNA against no target in K562 cells followed by RNA-seq. (NT-BGKcLV21)	Brenton Graveley, UConn	ENCODE	ENCBS271III,ENCBS605AWX	1,2	1	Homo sapiens		False
ENCSR999DVK	CRISPR RNA-seq	NIPBL	NIPBL	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens NIPBL	K562	GEO:GSE178066	RNA-seq on K562 cells treated with a CRISPR gRNA against NIPBL. (NIPBL-BGKcLV08)	Brenton Graveley, UConn	ENCODE	ENCBS316QHL,ENCBS217NYK	2,1	1	Homo sapiens	/experiments/ENCSR015KGT/	True
ENCSR644LYC	CRISPR RNA-seq	CNOT10	CNOT10	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens CNOT10	K562	GEO:GSE177671	RNA-seq on K562 cells treated with a CRISPR gRNA against CNOT10. (CNOT10-BGKcLV21)	Brenton Graveley, UConn	ENCODE	ENCBS252NYL,ENCBS018RUQ	1,2	1	Homo sapiens	/experiments/ENCSR854OFV/	True
ENCSR613LSQ	CRISPR RNA-seq	CTCF	CTCF	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens CTCF	K562	GEO:GSE177542	RNA-seq on K562 cells treated with a CRISPR gRNA against CTCF. (CTCF-BGKcLV17)	Brenton Graveley, UConn	ENCODE	ENCBS742ULM,ENCBS988SWN	2,1	1	Homo sapiens	/experiments/ENCSR516TLX/	True
ENCSR226KWO	CRISPR RNA-seq			Homo sapiens K562 genetically modified (deletion) using CRISPR	K562	GEO:GSE176753	Control CRISPR gRNA against no target in K562 cells followed by RNA-seq. (NT_BGKcLV04_B)	Brenton Graveley, UConn	ENCODE	ENCBS906RHA,ENCBS981XHM	2,1	1	Homo sapiens		False
ENCSR548OTL	CRISPR RNA-seq	YBX1	YBX1	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens YBX1	HepG2	GEO:GSE177313	RNA-seq on HepG2 cells treated with a CRISPR gRNA against YBX1. (YBX1-BGHcLV16)	Brenton Graveley, UConn	ENCODE	ENCBS970PIQ,ENCBS856DYN	1,2	1	Homo sapiens	/experiments/ENCSR964HKT/	True
ENCSR036ANR	CRISPR RNA-seq	SMAD2	SMAD2	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens SMAD2	HepG2	GEO:GSE176724	RNA-seq on HepG2 cells treated with a CRISPR gRNA against SMAD2. (SMAD2-BGHcLV16)	Brenton Graveley, UConn	ENCODE	ENCBS554PNG,ENCBS142KLP	1,2	1	Homo sapiens	/experiments/ENCSR964HKT/	True
ENCSR990DKW	CRISPR RNA-seq	MORC2	MORC2	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens MORC2	K562	GEO:GSE178052	RNA-seq on K562 cells treated with a CRISPR gRNA against MORC2. (MORC2-BGKcLV19)	Brenton Graveley, UConn	ENCODE	ENCBS715XCC,ENCBS293GUO	2,1	1	Homo sapiens	/experiments/ENCSR978MMZ/	True
ENCSR728VRY	CRISPR RNA-seq	PTGES3	PTGES3	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens PTGES3	K562	GEO:GSE177570	RNA-seq on K562 cells treated with a CRISPR gRNA against PTGES3. (PTGES3-BGKcLV15)	Brenton Graveley, UConn	ENCODE	ENCBS350NXO,ENCBS289LMY	2,1	1	Homo sapiens	/experiments/ENCSR404OHQ/	True
ENCSR294DOR	CRISPR RNA-seq	EIF4E	EIF4E	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens EIF4E	HepG2	GEO:GSE177010	RNA-seq on HepG2 cells treated with a CRISPR gRNA against EIF4E. (EIF4E-BGHcLV16)	Brenton Graveley, UConn	ENCODE	ENCBS732KMO,ENCBS865GQD	1,2	1	Homo sapiens	/experiments/ENCSR964HKT/	True
ENCSR943CXG	CRISPR RNA-seq	MDM2	MDM2	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens MDM2	K562	GEO:GSE177912	RNA-seq on K562 cells treated with a CRISPR gRNA against MDM2. (MDM2-BGKcLV19)	Brenton Graveley, UConn	ENCODE	ENCBS736JGG,ENCBS899OZI	2,1	1	Homo sapiens	/experiments/ENCSR978MMZ/	True
